,number,value,datetime_start,datetime_complete,duration,params_lr,params_weight_decay,state
54,54,0.4924731182795699,2021-02-10 11:31:12.601994,2021-02-10 11:31:22.894834,0 days 00:00:10.292840,0.013693829085022194,3.20461548466236e-06,COMPLETE
55,55,,2021-02-10 11:31:22.895230,2021-02-10 11:31:26.178253,0 days 00:00:03.283023,0.037194717440939475,2.234179110821053e-06,FAIL
56,56,0.605837173579109,2021-02-10 11:31:26.179098,2021-02-10 11:31:36.341598,0 days 00:00:10.162500,0.03787217587922517,1.209111504110548e-06,COMPLETE
57,57,0.5133640552995392,2021-02-10 11:31:36.341977,2021-02-10 11:32:01.571066,0 days 00:00:25.229089,0.03710486877798382,1.3384915966364267e-06,COMPLETE
58,58,0.5136712749615976,2021-02-10 11:32:01.571461,2021-02-10 11:32:21.793713,0 days 00:00:20.222252,0.04907204459699092,2.362419190603287e-06,COMPLETE
59,59,0.4534562211981567,2021-02-10 11:32:21.794097,2021-02-10 11:32:45.753189,0 days 00:00:23.959092,0.02985007635037381,1.2397345640541718e-06,COMPLETE
60,60,0.5317972350230414,2021-02-10 11:32:45.753569,2021-02-10 11:32:55.862623,0 days 00:00:10.109054,0.006976918804768681,1.9658945040000954e-06,COMPLETE
61,61,0.40675883256528417,2021-02-10 11:32:55.863023,2021-02-10 11:33:15.533413,0 days 00:00:19.670390,0.0052640156089315306,6.950796051395059e-06,COMPLETE
62,62,0.41382488479262675,2021-02-10 11:33:15.533806,2021-02-10 11:33:30.535222,0 days 00:00:15.001416,0.022614992514236064,5.067073429806761e-06,COMPLETE
63,63,0.49554531490015363,2021-02-10 11:33:30.535596,2021-02-10 11:33:40.772362,0 days 00:00:10.236766,0.03679692459185149,1.0086269996131798e-06,COMPLETE
64,64,0.43533026113671275,2021-02-10 11:33:40.772733,2021-02-10 11:34:00.877527,0 days 00:00:20.104794,0.01514909147614222,3.0472765145387767e-06,COMPLETE
65,65,0.541321044546851,2021-02-10 11:34:00.877906,2021-02-10 11:34:16.080474,0 days 00:00:15.202568,0.011593182076412264,1.1250255142146906e-05,COMPLETE
66,66,0.5947772657450077,2021-02-10 11:34:16.080856,2021-02-10 11:34:26.392586,0 days 00:00:10.311730,0.01832499438448948,1.573274712814084e-06,COMPLETE
67,67,0.4924731182795699,2021-02-10 11:34:26.392984,2021-02-10 11:34:46.149942,0 days 00:00:19.756958,0.027246386744594425,3.642897292733117e-06,COMPLETE
68,68,0.46728110599078343,2021-02-10 11:34:46.150330,2021-02-10 11:34:56.258089,0 days 00:00:10.107759,0.009895188957191652,2.2836671519682834e-06,COMPLETE
69,69,0.5339477726574501,2021-02-10 11:34:56.258487,2021-02-10 11:35:06.220181,0 days 00:00:09.961694,0.04993349799403748,8.058837964664923e-06,COMPLETE
70,70,0.5324116743471582,2021-02-10 11:35:06.220564,2021-02-10 11:35:20.739895,0 days 00:00:14.519331,0.020755079930823445,4.190865303287906e-06,COMPLETE
71,71,0.48325652841781874,2021-02-10 11:35:20.740290,2021-02-10 11:35:40.245483,0 days 00:00:19.505193,0.030075830103913296,5.368999642625064e-06,COMPLETE
72,72,0.49185867895545315,2021-02-10 11:35:40.245876,2021-02-10 11:36:00.124665,0 days 00:00:19.878789,0.0016134676420789264,3.927464945622116e-05,COMPLETE
73,73,0.5336405529953917,2021-02-10 11:36:00.125057,2021-02-10 11:36:09.875507,0 days 00:00:09.750450,0.0005136643900396432,0.0002796846461052373,COMPLETE
74,74,0.5668202764976958,2021-02-10 11:36:09.875899,2021-02-10 11:36:20.106569,0 days 00:00:10.230670,0.0002225714949800982,0.00010375459252197206,COMPLETE
75,75,0.5929339477726574,2021-02-10 11:36:20.106978,2021-02-10 11:36:30.330548,0 days 00:00:10.223570,0.0010713139094872446,2.9629296611323374e-06,COMPLETE
76,76,0.5963133640552996,2021-02-10 11:36:30.330987,2021-02-10 11:36:40.316023,0 days 00:00:09.985036,0.023870552882762304,1.7067441325633195e-05,COMPLETE
77,77,0.5748079877112136,2021-02-10 11:36:40.316426,2021-02-10 11:36:55.868412,0 days 00:00:15.551986,0.03976492311880555,1.5882021601456943e-05,COMPLETE
78,78,0.4221198156682028,2021-02-10 11:36:55.868795,2021-02-10 11:37:20.636412,0 days 00:00:24.767617,0.02366601200853714,1.2090426265360663e-05,COMPLETE
79,79,0.49062980030721964,2021-02-10 11:37:20.636808,2021-02-10 11:37:50.084940,0 days 00:00:29.448132,0.014449122202086773,2.223149536739503e-05,COMPLETE
80,80,0.40153609831029186,2021-02-10 11:37:50.085341,2021-02-10 11:38:05.067848,0 days 00:00:14.982507,0.011472674134259562,8.531632318297959e-06,COMPLETE
81,81,0.5563748079877112,2021-02-10 11:38:05.068238,2021-02-10 11:38:15.418681,0 days 00:00:10.350443,0.018221326095554533,5.826885272257405e-06,COMPLETE
82,82,0.40153609831029186,2021-02-10 11:38:15.419071,2021-02-10 11:38:58.544497,0 days 00:00:43.125426,0.0035596914374886523,1.9272901114627125e-05,COMPLETE
83,83,0.5167434715821813,2021-02-10 11:38:58.544888,2021-02-10 11:39:13.551419,0 days 00:00:15.006531,0.002498584812224357,9.201608576063433e-06,COMPLETE
84,84,0.5582181259600615,2021-02-10 11:39:13.551813,2021-02-10 11:39:23.806016,0 days 00:00:10.254203,0.03165468138244167,2.9993280522139754e-05,COMPLETE
85,85,0.46697388632872505,2021-02-10 11:39:23.806411,2021-02-10 11:40:22.530391,0 days 00:00:58.723980,0.000641662567968009,2.0398085806815555e-06,COMPLETE
86,86,0.4660522273425499,2021-02-10 11:40:22.530832,2021-02-10 11:40:32.325281,0 days 00:00:09.794449,0.024756723589837624,7.067281276954321e-06,COMPLETE
87,87,0.5920122887864824,2021-02-10 11:40:32.325672,2021-02-10 11:40:42.403551,0 days 00:00:10.077879,0.0011178648990161628,1.6144951753995168e-06,COMPLETE
88,88,0.6187403993855607,2021-02-10 11:40:42.403957,2021-02-10 11:40:57.593934,0 days 00:00:15.189977,0.03595226958024388,6.266433188184698e-05,COMPLETE
89,89,0.5542242703533026,2021-02-10 11:40:57.594329,2021-02-10 11:41:07.518004,0 days 00:00:09.923675,0.04254823384944838,7.725626645062311e-05,COMPLETE
90,90,0.5944700460829493,2021-02-10 11:41:07.518399,2021-02-10 11:41:17.529292,0 days 00:00:10.010893,0.035060161395590574,5.2856678613883745e-05,COMPLETE
91,91,0.5026113671274962,2021-02-10 11:41:17.529689,2021-02-10 11:41:37.360224,0 days 00:00:19.830535,0.021385440118444267,1.3015863592297115e-05,COMPLETE
92,92,0.5265745007680491,2021-02-10 11:41:37.360636,2021-02-10 11:41:47.179261,0 days 00:00:09.818625,0.00825333661129377,0.0001453535606804741,COMPLETE
93,93,0.6043010752688172,2021-02-10 11:41:47.179661,2021-02-10 11:41:57.802782,0 days 00:00:10.623121,0.029565420433019008,0.0002119038472188238,COMPLETE
94,94,0.6291858678955453,2021-02-10 11:41:57.803179,2021-02-10 11:42:07.945856,0 days 00:00:10.142677,0.027548923741184374,1.7875359492336057e-05,COMPLETE
95,95,0.543778801843318,2021-02-10 11:42:07.946257,2021-02-10 11:42:28.118778,0 days 00:00:20.172521,0.028571753619315375,0.0004123074037446336,COMPLETE
96,96,0.5228878648233487,2021-02-10 11:42:28.119190,2021-02-10 11:42:43.410978,0 days 00:00:15.291788,0.03734842181049331,0.00021699324192920604,COMPLETE
97,97,0.5357910906298003,2021-02-10 11:42:43.411375,2021-02-10 11:43:08.118913,0 days 00:00:24.707538,0.01726004549118184,3.5848037658608264e-06,COMPLETE
98,98,0.5960061443932412,2021-02-10 11:43:08.119331,2021-02-10 11:43:17.861110,0 days 00:00:09.741779,0.049122515035801964,4.525064227406943e-06,COMPLETE
99,99,0.4445468509984639,2021-02-10 11:43:17.861517,2021-02-10 11:43:32.880079,0 days 00:00:15.018562,0.03191052036892224,2.5635317811371625e-05,COMPLETE
