,number,value,datetime_start,datetime_complete,duration,params_lr,params_nl2,params_num_ct,params_scheduler_gamma,params_sigma2,params_weight_decay,state
58,58,,2021-02-08 21:09:07.266592,2021-02-08 21:09:07.908552,0 days 00:00:00.641960,0.006518533840000608,9,0,0.9881848491722869,20,0.48383352014021236,FAIL
59,59,,2021-02-08 21:09:07.908937,2021-02-08 21:09:08.536419,0 days 00:00:00.627482,0.004170238231034671,9,0,0.9878495001108141,20,0.4592296862544901,FAIL
60,60,,2021-02-08 21:09:08.536799,2021-02-08 21:09:09.271716,0 days 00:00:00.734917,0.010681820897236247,9,0,0.9817752832899016,20,0.4804934001254552,FAIL
61,61,,2021-02-08 21:09:09.272108,2021-02-08 21:09:09.912896,0 days 00:00:00.640788,0.006390519371779085,9,0,0.989510382884744,20,0.4491712109194817,FAIL
62,62,,2021-02-08 21:09:09.913279,2021-02-08 21:09:10.555344,0 days 00:00:00.642065,0.006784846564894159,9,0,0.9880025761624318,20,0.43494951886474126,FAIL
63,63,,2021-02-08 21:09:10.555718,2021-02-08 21:09:11.192049,0 days 00:00:00.636331,0.006777667099452333,9,0,0.9854056295169845,20,0.4963451242906141,FAIL
64,64,,2021-02-08 21:09:11.192428,2021-02-08 21:09:11.835495,0 days 00:00:00.643067,0.007639800410845117,9,0,0.9862089169013709,20,0.4978549731635726,FAIL
65,65,,2021-02-08 21:09:11.835882,2021-02-08 21:09:12.462864,0 days 00:00:00.626982,0.006906436118169792,9,0,0.9879785860221357,20,0.3613492367138092,FAIL
66,66,,2021-02-08 21:09:12.463249,2021-02-08 21:09:13.106203,0 days 00:00:00.642954,0.009362744199002945,9,0,0.9894018206882957,20,0.4058540661584281,FAIL
67,67,,2021-02-08 21:09:13.106598,2021-02-08 21:09:13.741237,0 days 00:00:00.634639,0.007645883645818874,9,0,0.9847323876017191,20,0.42530154365043493,FAIL
68,68,,2021-02-08 21:09:13.741626,2021-02-08 21:09:14.510971,0 days 00:00:00.769345,0.005317948136004933,9,0,0.9854618870039101,20,0.0899995488115482,FAIL
69,69,,2021-02-08 21:09:14.511361,2021-02-08 21:09:15.162129,0 days 00:00:00.650768,0.005749266941343618,9,0,0.9885956593540534,20,0.47883796702010417,FAIL
70,70,,2021-02-08 21:09:15.162528,2021-02-08 21:09:15.796606,0 days 00:00:00.634078,0.0062703160309381485,9,0,0.9808935831255489,20,0.4396419579211856,FAIL
71,71,,2021-02-08 21:09:15.797194,2021-02-08 21:09:16.444269,0 days 00:00:00.647075,0.006877915231321089,9,0,0.9893776671778266,20,0.4146557861478363,FAIL
72,72,,2021-02-08 21:09:16.444853,2021-02-08 21:09:17.117939,0 days 00:00:00.673086,0.006813281422287774,9,0,0.9898031532936332,20,0.09663679735848714,FAIL
73,73,,2021-02-08 21:09:17.118468,2021-02-08 21:09:17.751768,0 days 00:00:00.633300,0.007676399415177192,9,0,0.9895891409029322,20,0.3444420333775594,FAIL
74,74,,2021-02-08 21:09:17.752155,2021-02-08 21:09:18.374302,0 days 00:00:00.622147,0.006517388307016284,9,0,0.9878107754611731,20,0.4357136277313389,FAIL
75,75,,2021-02-08 21:09:18.374896,2021-02-08 21:09:19.138838,0 days 00:00:00.763942,0.006556495560226636,9,0,0.9855398064250163,20,0.4980366714338183,FAIL
76,76,,2021-02-08 21:09:19.139417,2021-02-08 21:09:19.798721,0 days 00:00:00.659304,0.006760665451199696,9,0,0.984978143188846,20,0.4116616427451437,FAIL
77,77,,2021-02-08 21:09:19.799305,2021-02-08 21:09:20.457205,0 days 00:00:00.657900,0.006285537403726398,9,0,0.9852684886647665,20,0.3988928018824545,FAIL
78,78,,2021-02-08 21:09:20.457603,2021-02-08 21:09:21.102559,0 days 00:00:00.644956,0.007269906743158942,9,0,0.9892792126382701,20,0.4539701870115924,FAIL
