,number,value,datetime_start,datetime_complete,duration,params_lr,params_weight_decay,state
62,62,0.397542242703533,2021-02-10 22:22:17.563387,2021-02-10 22:22:34.732705,0 days 00:00:17.169318,0.0013806627631205342,6.202748750708671e-05,COMPLETE
63,63,0.4254992319508449,2021-02-10 22:22:34.733060,2021-02-10 22:22:39.084632,0 days 00:00:04.351572,0.00042802922634356305,0.0007646577759295473,COMPLETE
64,64,0.5840245775729647,2021-02-10 22:22:39.084968,2021-02-10 22:22:43.398450,0 days 00:00:04.313482,0.0002749490071132745,9.39397877303635e-05,COMPLETE
65,65,0.4540706605222734,2021-02-10 22:22:43.398843,2021-02-10 22:22:51.970588,0 days 00:00:08.571745,0.0008809758139114391,0.0006886548768992471,COMPLETE
66,66,0.5775729646697388,2021-02-10 22:22:51.970946,2021-02-10 22:22:56.329624,0 days 00:00:04.358678,0.0006722844043018842,0.0003577292804652266,COMPLETE
67,67,0.43655913978494626,2021-02-10 22:22:56.329973,2021-02-10 22:23:00.693006,0 days 00:00:04.363033,0.0026842667952914506,0.0005395517804691511,COMPLETE
68,68,0.5634408602150538,2021-02-10 22:23:00.693366,2021-02-10 22:23:05.018142,0 days 00:00:04.324776,0.000902962903410268,0.0008317524557863338,COMPLETE
69,69,0.6236559139784946,2021-02-10 22:23:05.018489,2021-02-10 22:23:09.306878,0 days 00:00:04.288389,0.0020400087913103795,0.00021636166069528265,COMPLETE
70,70,0.4522273425499232,2021-02-10 22:23:09.307227,2021-02-10 22:23:13.653872,0 days 00:00:04.346645,0.001930260074620069,0.00020012432941669242,COMPLETE
71,71,0.5729646697388633,2021-02-10 22:23:13.654222,2021-02-10 22:23:17.981444,0 days 00:00:04.327222,0.0036184643129842076,0.00013822299954242929,COMPLETE
72,72,0.49523809523809526,2021-02-10 22:23:17.981807,2021-02-10 22:23:32.946503,0 days 00:00:14.964696,0.0029139923617702264,0.00027214551718041,COMPLETE
73,73,0.6181259600614439,2021-02-10 22:23:32.946862,2021-02-10 22:23:37.290641,0 days 00:00:04.343779,0.0012849885667012703,0.00011689226032431835,COMPLETE
74,74,,2021-02-10 22:23:37.291001,2021-02-10 22:23:40.616632,0 days 00:00:03.325631,0.002196981884485869,0.00012233389076550988,FAIL
75,75,0.4749615975422427,2021-02-10 22:23:40.616975,2021-02-10 22:23:45.063295,0 days 00:00:04.446320,0.0014022649554132575,0.0001308743860031728,COMPLETE
76,76,0.5748079877112136,2021-02-10 22:23:45.063661,2021-02-10 22:23:49.392325,0 days 00:00:04.328664,0.0011233635382835766,7.391949032634304e-05,COMPLETE
77,77,0.4141321044546851,2021-02-10 22:23:49.392684,2021-02-10 22:23:55.813979,0 days 00:00:06.421295,0.0019419232798815942,5.324566732892296e-05,COMPLETE
78,78,0.423963133640553,2021-02-10 22:23:55.814318,2021-02-10 22:24:00.151698,0 days 00:00:04.337380,0.0016065304748223473,0.00010069179713543523,COMPLETE
79,79,0.39447004608294933,2021-02-10 22:24:00.152026,2021-02-10 22:24:23.677071,0 days 00:00:23.525045,0.003932656310758882,0.0001875803177299437,COMPLETE
80,80,0.5096774193548387,2021-02-10 22:24:23.677427,2021-02-10 22:24:28.046031,0 days 00:00:04.368604,0.0022437908523081146,0.00024448853549039455,COMPLETE
81,81,0.46482334869431646,2021-02-10 22:24:28.046388,2021-02-10 22:24:34.547830,0 days 00:00:06.501442,0.0012214384595288618,0.00016070133342254258,COMPLETE
82,82,0.5803379416282642,2021-02-10 22:24:34.548186,2021-02-10 22:24:38.908431,0 days 00:00:04.360245,0.0005335359131960121,0.0003642513464016567,COMPLETE
83,83,0.471889400921659,2021-02-10 22:24:38.908783,2021-02-10 22:24:43.250918,0 days 00:00:04.342135,0.000723914827089589,5.454731320755993e-05,COMPLETE
84,84,0.47803379416282643,2021-02-10 22:24:43.251311,2021-02-10 22:24:51.870447,0 days 00:00:08.619136,3.455942176120451e-05,2.4752148283790956e-05,COMPLETE
85,85,0.4731182795698925,2021-02-10 22:24:51.870821,2021-02-10 22:24:58.318297,0 days 00:00:06.447476,0.00283742412899603,7.655331004990286e-05,COMPLETE
86,86,0.61321044546851,2021-02-10 22:24:58.318653,2021-02-10 22:25:02.649984,0 days 00:00:04.331331,0.0009655812583941944,0.0004485535672542891,COMPLETE
87,87,0.5800307219662059,2021-02-10 22:25:02.650340,2021-02-10 22:25:07.004444,0 days 00:00:04.354104,0.0010722805267430668,0.00043657301981843226,COMPLETE
88,88,0.4270353302611367,2021-02-10 22:25:07.004794,2021-02-10 22:25:53.918079,0 days 00:00:46.913285,0.0014258093729724208,0.00011840977245775603,COMPLETE
89,89,0.434715821812596,2021-02-10 22:25:53.918903,2021-02-10 22:26:04.681489,0 days 00:00:10.762586,0.0017612985689824767,0.0009566734059451951,COMPLETE
90,90,0.42980030721966206,2021-02-10 22:26:04.681862,2021-02-10 22:26:13.289107,0 days 00:00:08.607245,0.00011563487420130508,3.655077303517684e-05,COMPLETE
91,91,0.4740399385560676,2021-02-10 22:26:13.289464,2021-02-10 22:26:19.680823,0 days 00:00:06.391359,0.0021222945465724018,0.00032060566866867844,COMPLETE
92,92,0.623963133640553,2021-02-10 22:26:19.681184,2021-02-10 22:26:23.995445,0 days 00:00:04.314261,0.0016256544455585317,0.0004698273639063037,COMPLETE
93,93,0.43533026113671275,2021-02-10 22:26:23.995799,2021-02-10 22:26:28.341178,0 days 00:00:04.345379,0.0032588574768796725,0.00024802004323408976,COMPLETE
94,94,0.4927803379416283,2021-02-10 22:26:28.341536,2021-02-10 22:26:32.723129,0 days 00:00:04.381593,0.00080695967222323,0.0004385071866189149,COMPLETE
95,95,0.4313364055299539,2021-02-10 22:26:32.723498,2021-02-10 22:26:37.019927,0 days 00:00:04.296429,0.0016144914412348054,0.00014972454197127301,COMPLETE
96,96,0.5548387096774193,2021-02-10 22:26:37.020265,2021-02-10 22:26:43.467870,0 days 00:00:06.447605,0.0012779232745209952,0.0006381385498570257,COMPLETE
97,97,0.4881720430107527,2021-02-10 22:26:43.468225,2021-02-10 22:26:47.769978,0 days 00:00:04.301753,0.0009836685250386415,0.0005224469747511737,COMPLETE
98,98,,2021-02-10 22:26:47.770440,2021-02-10 22:26:48.996205,0 days 00:00:01.225765,0.0018661688357953445,0.0008809093545097877,FAIL
99,99,0.5867895545314901,2021-02-10 22:26:48.996548,2021-02-10 22:26:53.288826,0 days 00:00:04.292278,0.0024293937784800124,0.0006211834278908813,COMPLETE
