,number,value,datetime_start,datetime_complete,duration,params_lr,params_out_dim,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
47,47,0.4768049155145929,2021-02-14 00:34:12.919072,2021-02-14 00:34:45.581257,0 days 00:00:32.662185,0.00045838446919974833,50,6.355737049852571e-05,0.4768049155145929,,,PRUNED
48,48,0.5311827956989247,2021-02-14 00:34:45.581440,2021-02-14 00:38:42.194715,0 days 00:03:56.613275,0.002278115995465379,5,2.096835468543307e-06,0.5778801843317972,0.5456221198156682,0.605837173579109,COMPLETE
49,49,0.5,2021-02-14 00:38:42.195355,2021-02-14 00:38:54.094161,0 days 00:00:11.898806,0.0071152024320300135,15,2.398986293884051e-07,0.5,,,PRUNED
50,50,0.5016897081413211,2021-02-14 00:38:54.094341,2021-02-14 00:39:05.979583,0 days 00:00:11.885242,0.001426157769203386,20,5.746734846644095e-07,0.5016897081413211,,,PRUNED
51,51,0.5,2021-02-14 00:39:05.979761,2021-02-14 00:40:36.732799,0 days 00:01:30.753038,0.005681597483252825,15,1.9315937639030306e-05,0.5,,,PRUNED
52,52,0.42857142857142855,2021-02-14 00:40:36.732989,2021-02-14 00:40:48.818109,0 days 00:00:12.085120,0.00016191752813268112,10,9.44230199215448e-07,0.42857142857142855,,,PRUNED
53,53,0.49539170506912444,2021-02-14 00:40:48.818294,2021-02-14 00:42:19.695360,0 days 00:01:30.877066,0.014557551763952037,10,1.5689592535902179e-06,0.49539170506912444,,,PRUNED
54,54,0.4596006144393241,2021-02-14 00:42:19.695523,2021-02-14 00:42:31.588826,0 days 00:00:11.893303,0.002085916007539279,5,2.7156845407888044e-06,0.4596006144393241,,,PRUNED
55,55,0.5001536098310292,2021-02-14 00:42:31.589007,2021-02-14 00:42:43.483977,0 days 00:00:11.894970,0.0025529545388192046,5,2.019363143138425e-05,0.5001536098310292,,,PRUNED
56,56,0.5339477726574501,2021-02-14 00:42:43.484162,2021-02-14 00:43:15.076238,0 days 00:00:31.592076,0.004305582863501293,40,5.637183283634576e-06,0.5339477726574501,,,PRUNED
57,57,0.5284178187403994,2021-02-14 00:43:15.076405,2021-02-14 00:43:46.624283,0 days 00:00:31.547878,8.588552032458102e-05,40,0.0002700870488243514,0.5284178187403994,,,PRUNED
58,58,0.5038402457757296,2021-02-14 00:43:46.624458,2021-02-14 00:43:58.461195,0 days 00:00:11.836737,0.0008400694550561657,10,7.488729279404152e-06,0.5038402457757296,,,PRUNED
59,59,0.5081413210445469,2021-02-14 00:43:58.461383,2021-02-14 00:45:29.455878,0 days 00:01:30.994495,0.0003176834744387085,20,0.00012045009157860708,0.5081413210445469,,,PRUNED
60,60,0.5,2021-02-14 00:45:29.456039,2021-02-14 00:45:41.355827,0 days 00:00:11.899788,0.010378374392416494,15,2.0685999469922673e-06,0.5,,,PRUNED
61,61,0.4989247311827957,2021-02-14 00:45:41.355989,2021-02-14 00:46:13.153240,0 days 00:00:31.797251,0.0035304180199325795,25,3.3700759972789945e-07,0.5428571428571428,0.4989247311827957,,PRUNED
62,62,0.482642089093702,2021-02-14 00:46:13.153401,2021-02-14 00:46:25.014719,0 days 00:00:11.861318,0.01772948867896444,5,2.8968718342233524e-05,0.482642089093702,,,PRUNED
63,63,0.4608294930875576,2021-02-14 00:46:25.014878,2021-02-14 00:47:55.856679,0 days 00:01:30.841801,0.00047638193594536673,30,1.5310355386128762e-07,0.4608294930875576,,,PRUNED
64,64,0.5121351766513057,2021-02-14 00:47:55.856844,2021-02-14 00:49:26.609596,0 days 00:01:30.752752,0.0010559554532708188,35,1.1535722744318265e-07,0.5121351766513057,,,PRUNED
65,65,0.47096774193548385,2021-02-14 00:49:26.609789,2021-02-14 00:49:38.539899,0 days 00:00:11.930110,0.0003938899427139201,35,9.930248255767244e-07,0.47096774193548385,,,PRUNED
66,66,0.5714285714285714,2021-02-14 00:49:38.540086,2021-02-14 00:51:09.175932,0 days 00:01:30.635846,0.00185884065490637,15,4.817743515759452e-06,0.627342549923195,0.5953917050691244,0.5714285714285714,PRUNED
67,67,0.44224270353302614,2021-02-14 00:51:09.176124,2021-02-14 00:51:21.110216,0 days 00:00:11.934092,0.000225039849455191,50,1.7809767416811266e-07,0.44224270353302614,,,PRUNED
68,68,0.5104454685099846,2021-02-14 00:51:21.110406,2021-02-14 00:52:52.057273,0 days 00:01:30.946867,0.01999446082671896,35,3.967906976661984e-05,0.5104454685099846,,,PRUNED
69,69,0.40153609831029186,2021-02-14 00:52:52.057469,2021-02-14 00:53:03.951027,0 days 00:00:11.893558,0.0004921110855363087,20,1.3501898909770604e-05,0.40153609831029186,,,PRUNED
70,70,0.40522273425499233,2021-02-14 00:53:03.951199,2021-02-14 00:53:15.804111,0 days 00:00:11.852912,0.008273388002439657,35,0.00011309060693436578,0.40522273425499233,,,PRUNED
