,number,value,datetime_start,datetime_complete,duration,params_lr,params_out_dim,params_scheduler_gamma,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
267,267,0.7042149371456742,2021-02-23 09:14:28.195059,2021-02-23 09:14:54.250197,0 days 00:00:26.055138,0.0002507384497728894,30,0.9956600133677102,13.30871162073539,0.7086517130884891,0.7042149371456742,,PRUNED
268,268,0.7319678634953988,2021-02-23 09:14:54.250475,2021-02-23 09:29:35.471534,0 days 00:14:41.221059,0.0036176384784244535,10,0.9901856915190513,17.0163121804686,0.7049543998028099,,,COMPLETE
269,269,0.7309350017059743,2021-02-23 09:29:35.472197,2021-02-23 09:44:41.235750,0 days 00:15:05.763553,0.0005068840400597737,60,0.9968416895937874,18.17675658260289,0.7049543998028099,,,COMPLETE
270,270,0.7052008873551886,2021-02-23 09:44:41.236454,2021-02-23 09:44:53.430365,0 days 00:00:12.193911,3.16024194222877e-05,100,0.9969103273781513,9.727867000100709,0.7052008873551886,,,PRUNED
271,271,0.6938624599457728,2021-02-23 09:44:53.430664,2021-02-23 09:45:05.485673,0 days 00:00:12.055009,0.00013261362001909158,10,0.9917953464483933,17.53820471684674,0.6938624599457728,,,PRUNED
272,272,0.7052008873551886,2021-02-23 09:45:05.485959,2021-02-23 09:45:32.582356,0 days 00:00:27.096397,2.5154789673300633e-05,10,0.9934514710579233,18.14511993413229,0.7076657628789746,0.7052008873551886,,PRUNED
273,273,0.7039684495932955,2021-02-23 09:45:32.582668,2021-02-23 09:45:44.674879,0 days 00:00:12.092211,3.9429398006517167e-05,10,0.9930302197274958,4.718403318611017,0.7039684495932955,,,PRUNED
274,274,0.7049543998028099,2021-02-23 09:45:44.675166,2021-02-23 09:45:56.746386,0 days 00:00:12.071220,0.00038388065308986394,20,0.9937655968166855,8.431699895369201,0.7049543998028099,,,PRUNED
275,275,0.6982992358885877,2021-02-23 09:45:56.746668,2021-02-23 09:46:08.755587,0 days 00:00:12.008919,0.00020128973335044334,90,0.9965611113730027,14.16230445737549,0.6982992358885877,,,PRUNED
276,276,0.700517623859995,2021-02-23 09:46:08.755878,2021-02-23 09:47:21.165567,0 days 00:01:12.409689,0.0002812240175185586,10,0.9943497894999668,9.216932776621563,0.7088982006408676,0.707419275326596,0.700517623859995,PRUNED
277,277,0.7322492042820357,2021-02-23 09:47:21.165838,2021-02-23 10:02:41.256455,0 days 00:15:20.090617,0.000414984452115524,80,0.9960679783541827,15.830102958358733,0.7052008873551886,,,COMPLETE
278,278,0.7334502270641723,2021-02-23 10:02:41.257153,2021-02-23 10:18:01.522756,0 days 00:15:20.265603,0.0002708707833352493,90,0.9965721097866538,16.665966246788155,0.7052008873551886,,,COMPLETE
279,279,0.7049543998028099,2021-02-23 10:18:01.523470,2021-02-23 10:18:28.738951,0 days 00:00:27.215481,0.0004719595791940071,10,0.9923966609501474,10.719580652757937,0.7049543998028099,,,PRUNED
280,280,0.7039684495932955,2021-02-23 10:18:28.739246,2021-02-23 10:18:56.138459,0 days 00:00:27.399213,0.00015804377968871853,20,0.9941341192593001,7.8877244365504895,0.7128420014789253,0.7039684495932955,,PRUNED
281,281,0.7002711363076165,2021-02-23 10:18:56.138771,2021-02-23 10:19:08.249622,0 days 00:00:12.110851,0.00022348095767368834,100,0.9913039953031704,10.578816356064873,0.7002711363076165,,,PRUNED
282,282,0.6933694848410156,2021-02-23 10:19:08.249904,2021-02-23 10:20:20.640336,0 days 00:01:12.390432,4.9463098556239806e-05,90,0.9908300892437489,16.68762292670879,0.7096376632980035,0.709884150850382,0.6933694848410156,PRUNED
283,283,0.6953413852600444,2021-02-23 10:20:20.640662,2021-02-23 10:21:33.103392,0 days 00:01:12.462730,5.284802980466468e-05,20,0.9906665800193106,14.138939458397118,0.7202366280502834,0.6953413852600444,,PRUNED
284,284,0.7315756784167947,2021-02-23 10:21:33.103690,2021-02-23 10:36:53.013344,0 days 00:15:19.909654,0.00030159167346937064,100,0.9983710544950376,19.854975804314968,0.7049543998028099,,,COMPLETE
285,285,0.7039684495932955,2021-02-23 10:36:53.014039,2021-02-23 10:37:20.345543,0 days 00:00:27.331504,0.000350944309117463,10,0.9952375315581176,15.879120812280805,0.7086517130884891,0.7039684495932955,,PRUNED
286,286,0.6804087048440215,2021-02-23 10:37:20.345837,2021-02-23 10:52:28.474880,0 days 00:15:08.129043,3.072264596788053e-05,30,0.990214793875896,13.396579361918523,0.7081587379837319,0.7133349765836825,,COMPLETE
287,287,0.7003334674073134,2021-02-23 10:52:28.475599,2021-02-23 11:07:48.141719,0 days 00:15:19.666120,0.00011465497995143105,90,0.9940415680650996,16.56524587928995,0.7054473749075671,,,COMPLETE
288,288,0.7056938624599458,2021-02-23 11:07:48.142411,2021-02-23 11:08:15.453340,0 days 00:00:27.310929,0.00018202534981186344,20,0.9910937924747828,14.852580098569783,0.7091446881932463,0.7056938624599458,,PRUNED
289,289,0.6995316736504806,2021-02-23 11:08:15.453623,2021-02-23 11:09:27.504672,0 days 00:01:12.051049,7.974303996999678e-05,20,0.9910303891780295,17.402280925905853,0.7081587379837319,0.6995316736504806,,PRUNED
290,290,0.6807186392275303,2021-02-23 11:09:27.504979,2021-02-23 11:24:46.287265,0 days 00:15:18.782286,5.968448923874526e-05,40,0.9912564500631459,14.79864251080862,0.7140744392408184,0.7308355928025635,,COMPLETE
291,291,0.7071727877742174,2021-02-23 11:24:46.287959,2021-02-23 11:25:13.376204,0 days 00:00:27.088245,0.00012133384422293932,10,0.9900208369702544,12.3071493489334,0.7071727877742174,,,PRUNED
292,292,0.7069263002218388,2021-02-23 11:25:13.376535,2021-02-23 11:25:40.499076,0 days 00:00:27.122541,0.0005719841189231882,20,0.9945652756997557,6.945213817288228,0.7081587379837319,0.7069263002218388,,PRUNED
293,293,0.7010105989647523,2021-02-23 11:25:40.499429,2021-02-23 11:26:07.667944,0 days 00:00:27.168515,2.1086728560449296e-05,30,0.9905521549065291,10.207070103956777,0.7010105989647523,,,PRUNED
294,294,0.7312343538008357,2021-02-23 11:26:07.668227,2021-02-23 11:41:27.593082,0 days 00:15:19.924855,0.0002562290189472172,90,0.997089340970294,18.875293997426283,0.7066798126694602,,,COMPLETE
295,295,0.703721962040917,2021-02-23 11:41:27.593807,2021-02-23 11:41:54.842029,0 days 00:00:27.248222,0.00047553203245630265,20,0.9948790603172757,6.081403179064403,0.7106236135075179,0.703721962040917,,PRUNED
296,296,0.7042149371456742,2021-02-23 11:41:54.842335,2021-02-23 11:42:21.914132,0 days 00:00:27.071797,0.0009391616823606519,20,0.9967147964550715,7.493458472917372,0.7079122504313532,0.7042149371456742,,PRUNED
297,297,0.6992851860981021,2021-02-23 11:42:21.914416,2021-02-23 11:42:34.029812,0 days 00:00:12.115396,1.0011297468812432e-05,10,0.9979571564508388,18.63309310448173,0.6992851860981021,,,PRUNED
298,298,0.7071727877742174,2021-02-23 11:42:34.030171,2021-02-23 11:43:01.152466,0 days 00:00:27.122295,0.00010070789926562705,20,0.9914818753492878,11.741671456586769,0.7071727877742174,,,PRUNED
299,299,0.7047079122504314,2021-02-23 11:43:01.152746,2021-02-23 11:43:13.174082,0 days 00:00:12.021336,0.0004273453164768052,20,0.9904709784914698,17.16108178760505,0.7047079122504314,,,PRUNED
300,300,0.726906481279425,2021-02-23 11:43:13.174415,2021-02-23 11:58:32.456774,0 days 00:15:19.282359,0.0011202127369641793,100,0.9975444909629164,17.955151603487483,0.7049543998028099,,,COMPLETE
301,301,0.7044614246980527,2021-02-23 11:58:32.457469,2021-02-23 11:58:44.520314,0 days 00:00:12.062845,0.0007045148144404568,100,0.9950510584923408,6.341547675832248,0.7044614246980527,,,PRUNED
302,302,0.7069263002218388,2021-02-23 11:58:44.520653,2021-02-23 11:58:56.604218,0 days 00:00:12.083565,0.0002780127610149349,30,0.9916205625453659,5.7385032445953525,0.7069263002218388,,,PRUNED
303,303,0.7064333251170816,2021-02-23 11:58:56.604559,2021-02-23 12:00:08.960132,0 days 00:01:12.355573,0.00014420714151257288,10,0.9931387856718412,15.701223138617909,0.7093911757456248,0.7064333251170816,,PRUNED
304,304,0.7059403500123244,2021-02-23 12:00:08.960435,2021-02-23 12:00:21.035876,0 days 00:00:12.075441,2.712838774002027e-05,40,0.9932487713322642,8.82611762503315,0.7059403500123244,,,PRUNED
305,305,0.7064333251170816,2021-02-23 12:00:21.036199,2021-02-23 12:00:33.088892,0 days 00:00:12.052693,0.00032735952182708094,90,0.9901400186500372,15.386798442097755,0.7064333251170816,,,PRUNED
306,306,0.7042149371456742,2021-02-23 12:00:33.089180,2021-02-23 12:01:00.240574,0 days 00:00:27.151394,0.00036371568157309936,20,0.9910665657550188,18.14499928040134,0.7042149371456742,,,PRUNED
307,307,0.7022430367266453,2021-02-23 12:01:00.240912,2021-02-23 12:01:27.424537,0 days 00:00:27.183625,4.682080211260897e-05,10,0.9916382340452122,12.955280775427953,0.7022430367266453,,,PRUNED
308,308,0.7047079122504314,2021-02-23 12:01:27.424833,2021-02-23 12:01:39.482672,0 days 00:00:12.057839,0.0001419709469705773,70,0.9921583494837938,10.144728457389105,0.7047079122504314,,,PRUNED
