,number,value,datetime_start,datetime_complete,duration,params_lr,params_out_dim,params_scheduler_gamma,params_weight_decay,system_attrs_completed_rung_0,state
1526,1526,0.7059403500123244,2021-02-22 05:24:16.403639,2021-02-22 05:24:27.715688,0 days 00:00:11.312049,0.00022710710298736085,90,0.9980422976384535,5.807421374047758,0.7059403500123244,PRUNED
1527,1527,0.6970667981266946,2021-02-22 05:24:27.716388,2021-02-22 05:24:39.080957,0 days 00:00:11.364569,0.00027759529539937906,50,0.9940515878511462,4.5969397286571745,0.6970667981266946,PRUNED
1528,1528,0.7238706688589343,2021-02-22 05:24:39.081706,2021-02-22 05:26:04.245207,0 days 00:01:25.163501,8.553865512027146e-05,70,0.9935186437037407,6.578754658448564,0.7096376632980035,COMPLETE
1529,1529,0.7323577754558392,2021-02-22 05:26:04.246406,2021-02-22 05:27:29.433488,0 days 00:01:25.187082,0.0003149939677493889,20,0.9937699309412037,15.917333833213387,0.7081587379837319,COMPLETE
1530,1530,0.7059403500123244,2021-02-22 05:27:29.434669,2021-02-22 05:27:40.665296,0 days 00:00:11.230627,0.00017914056309499887,80,0.995588730601682,6.011916563903316,0.7059403500123244,PRUNED
1531,1531,0.7019965491742667,2021-02-22 05:27:40.665963,2021-02-22 05:27:51.941107,0 days 00:00:11.275144,0.0004049140541610681,30,0.994333574625758,2.775859303737266,0.7019965491742667,PRUNED
1532,1532,0.7173501033112422,2021-02-22 05:27:51.941808,2021-02-22 05:29:17.020599,0 days 00:01:25.078791,0.00022192639139022248,70,0.9980097595669479,3.5576988468617983,0.7084052255361104,COMPLETE
1533,1533,0.7309794688159352,2021-02-22 05:29:17.021790,2021-02-22 05:30:42.117330,0 days 00:01:25.095540,0.0003555372714375624,80,0.9946196428910983,4.8499809491939105,0.7084052255361104,COMPLETE
1534,1534,0.7049543998028099,2021-02-22 05:30:42.118632,2021-02-22 05:30:53.298585,0 days 00:00:11.179953,0.00029759843876534035,60,0.9939509736567087,7.446664128984684,0.7049543998028099,PRUNED
1535,1535,0.7017500616218881,2021-02-22 05:30:53.299394,2021-02-22 05:31:04.673615,0 days 00:00:11.374221,0.0004257313310892266,80,0.9933524935463252,7.937798173871743,0.7017500616218881,PRUNED
