,number,value,datetime_start,datetime_complete,duration,params_lr,params_out_dim,params_scheduler_gamma,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
14,14,0.7049543998028099,2021-03-04 21:39:31.179454,2021-03-04 21:39:43.855107,0 days 00:00:12.675653,0.003039202942574853,70,0.9923400127281103,9.160403523222348,0.7049543998028099,,,,PRUNED
15,15,0.709884150850382,2021-03-04 21:39:43.855323,2021-03-04 21:41:02.565063,0 days 00:01:18.709740,0.001372519830091081,90,0.9928466427496014,1.1517348288402078,0.709884150850382,,,,PRUNED
16,16,0.7032289869361598,2021-03-04 21:41:02.565281,2021-03-04 21:41:15.463398,0 days 00:00:12.898117,0.0069046634207729175,40,0.9966442543619284,12.327564040023926,0.7032289869361598,,,,PRUNED
17,17,0.7054473749075671,2021-03-04 21:41:15.463570,2021-03-04 21:45:03.912680,0 days 00:03:48.449110,1.222317097706304e-05,40,0.9904337767637883,12.153499427329855,0.7162928272122258,0.7113630761646537,0.7054473749075671,,PRUNED
18,18,0.706186837564703,2021-03-04 21:45:03.912876,2021-03-04 21:45:16.562075,0 days 00:00:12.649199,0.0008352892246657994,30,0.9932728620955377,11.131212050362196,0.706186837564703,,,,PRUNED
19,19,0.7047079122504314,2021-03-04 21:45:16.562265,2021-03-04 21:45:46.016944,0 days 00:00:29.454679,0.0005811496651176211,70,0.9908365387065284,12.517365253074676,0.7081587379837319,0.7047079122504314,,,PRUNED
20,20,0.6978062607838305,2021-03-04 21:45:46.017153,2021-03-04 21:45:58.792925,0 days 00:00:12.775772,6.177895470246486e-05,10,0.9900157565502102,19.804925882268016,0.6978062607838305,,,,PRUNED
21,21,0.7010105989647523,2021-03-04 21:45:58.793149,2021-03-04 21:46:11.551323,0 days 00:00:12.758174,0.00010141838005979067,10,0.9971717078533513,0.6750026969922446,0.7010105989647523,,,,PRUNED
22,22,0.6837564702982499,2021-03-04 21:46:11.551549,2021-03-04 21:46:40.824541,0 days 00:00:29.272992,0.009897986751885206,90,0.995445170275043,11.23537376289047,0.6837564702982499,,,,PRUNED
23,23,0.7081587379837319,2021-03-04 21:46:40.824741,2021-03-04 21:50:29.405251,0 days 00:03:48.580510,0.00020785041190146024,40,0.9933887506061508,8.53607944159173,0.7116095637170323,0.7081587379837319,,,PRUNED
24,24,0.6721715553364556,2021-03-04 21:50:29.405416,2021-03-04 21:54:41.409140,0 days 00:04:12.003724,8.374028625487184e-05,20,0.9957953203624375,0.05302515987444045,0.7175252649741188,0.7170322898693616,0.700517623859995,0.6748829184126202,COMPLETE
25,25,0.6842494454030071,2021-03-04 21:54:41.409776,2021-03-04 21:54:54.075515,0 days 00:00:12.665739,0.00010302679413387552,30,0.9954139815386172,3.9880801715068035,0.6842494454030071,,,,PRUNED
26,26,0.6872072960315504,2021-03-04 21:54:54.075736,2021-03-04 21:55:23.502132,0 days 00:00:29.426396,0.01080078553155036,20,0.996337738504169,17.210718788199824,0.6872072960315504,,,,PRUNED
