,number,value,datetime_start,datetime_complete,duration,params_lr,params_out_dim,params_scheduler_gamma,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
346,346,0.6985457234409662,2021-02-24 05:10:46.569877,2021-02-24 05:12:06.099197,0 days 00:01:19.529320,0.00018298723643455,50,0.99496472573452,3.70774380277979,0.7084052255361104,0.7091446881932463,0.6985457234409662,PRUNED
347,347,0.6963273354695588,2021-02-24 05:12:06.099531,2021-02-24 05:12:19.104605,0 days 00:00:13.005074,0.00022660208998472115,60,0.9946672088844875,3.245567230863509,0.6963273354695588,,,PRUNED
348,348,0.6987922109933449,2021-02-24 05:12:19.104950,2021-02-24 05:12:32.055587,0 days 00:00:12.950637,0.00014266697342390155,40,0.9957370675155572,0.7441824582722318,0.6987922109933449,,,PRUNED
349,349,0.7049543998028099,2021-02-24 05:12:32.055899,2021-02-24 05:12:44.996284,0 days 00:00:12.940385,0.003384920781377169,50,0.9943582117937554,4.208075030507401,0.7049543998028099,,,PRUNED
350,350,0.6758688686221346,2021-02-24 05:12:44.996627,2021-02-24 05:16:07.379157,0 days 00:03:22.382530,0.0001247819369170555,90,0.9986299903057576,8.695589864914325,0.709884150850382,,,COMPLETE
351,351,0.7027360118314026,2021-02-24 05:16:07.379883,2021-02-24 05:16:20.487050,0 days 00:00:13.107167,0.00473809577594824,30,0.9950601348215624,2.757415871721064,0.7027360118314026,,,PRUNED
352,352,0.7019965491742667,2021-02-24 05:16:20.487392,2021-02-24 05:16:33.545119,0 days 00:00:13.057727,0.00045242842813587555,90,0.9907849957675094,1.6143468631793922,0.7019965491742667,,,PRUNED
353,353,0.7064333251170816,2021-02-24 05:16:33.545457,2021-02-24 05:17:03.276203,0 days 00:00:29.730746,0.0021170913146735457,10,0.9912202676723308,2.2149153032095232,0.7088982006408676,0.7064333251170816,,PRUNED
354,354,0.7044614246980527,2021-02-24 05:17:03.276543,2021-02-24 05:17:32.455426,0 days 00:00:29.178883,0.0002128529771226907,30,0.9954405199099893,13.947137816583144,0.7091446881932463,0.7044614246980527,,PRUNED
355,355,0.7194971653931477,2021-02-24 05:17:32.455747,2021-02-24 05:20:47.966127,0 days 00:03:15.510380,5.797134504329091e-05,70,0.9977201987972186,13.10863993186945,0.7121025388217895,,,COMPLETE
356,356,0.7064333251170816,2021-02-24 05:20:47.966847,2021-02-24 05:21:16.572487,0 days 00:00:28.605640,0.00013680306117433614,30,0.9930076297610327,7.556523093735469,0.7064333251170816,,,PRUNED
357,357,0.6958343603648016,2021-02-24 05:21:16.572808,2021-02-24 05:24:31.817835,0 days 00:03:15.245027,5.8644361909058436e-05,70,0.9917460313335563,0.8309200829002944,0.707419275326596,0.7111165886122751,,COMPLETE
358,358,0.703721962040917,2021-02-24 05:24:31.818543,2021-02-24 05:24:44.370628,0 days 00:00:12.552085,0.00016668148793257443,30,0.9928228702905058,3.7782492014397944,0.703721962040917,,,PRUNED
359,359,0.7002711363076165,2021-02-24 05:24:44.370946,2021-02-24 05:26:01.036097,0 days 00:01:16.665151,6.533337621492866e-05,70,0.9977251731491559,12.835068819901464,0.7002711363076165,,,PRUNED
360,360,0.7047079122504314,2021-02-24 05:26:01.036391,2021-02-24 05:27:17.645779,0 days 00:01:16.609388,3.1378067395407475e-05,80,0.9983060637992839,11.004258994466639,0.7047079122504314,,,PRUNED
361,361,0.6990386985457234,2021-02-24 05:27:17.646123,2021-02-24 05:27:30.271166,0 days 00:00:12.625043,6.763709399319912e-05,20,0.9960014838891095,1.2140760811236488,0.6990386985457234,,,PRUNED
362,362,0.7106236135075179,2021-02-24 05:27:30.271497,2021-02-24 05:30:45.500748,0 days 00:03:15.229251,9.823450013567578e-05,80,0.998991861068227,15.091645931840194,0.7064333251170816,,,COMPLETE
363,363,0.7042149371456742,2021-02-24 05:30:45.501470,2021-02-24 05:30:58.093908,0 days 00:00:12.592438,5.083017550968074e-05,10,0.9975912738558427,0.020771682571912864,0.7042149371456742,,,PRUNED
364,364,0.7039684495932955,2021-02-24 05:30:58.094237,2021-02-24 05:32:14.737818,0 days 00:01:16.643581,9.549220370080847e-05,70,0.9988889437643367,16.475411474853395,0.7039684495932955,,,PRUNED
365,365,0.7071727877742174,2021-02-24 05:32:14.738131,2021-02-24 05:32:43.318239,0 days 00:00:28.580108,9.887111886838921e-05,20,0.9923934781994305,9.329756380286655,0.7145674143455756,0.7071727877742174,,PRUNED
366,366,0.7039684495932955,2021-02-24 05:32:43.318557,2021-02-24 05:35:58.747453,0 days 00:03:15.428896,0.00015795661753461953,80,0.9989547992226426,17.6754108584429,0.7071727877742174,,,COMPLETE
367,367,0.6933694848410156,2021-02-24 05:35:58.748181,2021-02-24 05:36:27.374185,0 days 00:00:28.626004,8.117246374086774e-05,50,0.9909641527420749,8.607432133985592,0.7101306384027607,0.6933694848410156,,PRUNED
368,368,0.7059403500123244,2021-02-24 05:36:27.374513,2021-02-24 05:36:39.992051,0 days 00:00:12.617538,0.00035358796186767805,10,0.9920546116974226,7.47278847787301,0.7059403500123244,,,PRUNED
369,369,0.7010105989647523,2021-02-24 05:36:39.992410,2021-02-24 05:37:08.581314,0 days 00:00:28.588904,0.0002682455991540602,40,0.9972420171301476,3.071422206366784,0.709884150850382,0.7010105989647523,,PRUNED
370,370,0.7042149371456742,2021-02-24 05:37:08.581645,2021-02-24 05:37:37.224586,0 days 00:00:28.642941,7.90038500343312e-05,50,0.9908108520046894,10.560689008394384,0.7042149371456742,,,PRUNED
371,371,0.6997781612028593,2021-02-24 05:37:37.224937,2021-02-24 05:38:53.947025,0 days 00:01:16.722088,6.257511561396829e-05,80,0.9980633912485731,15.33622155309144,0.6997781612028593,,,PRUNED
372,372,0.7071727877742174,2021-02-24 05:38:53.947341,2021-02-24 05:39:22.504145,0 days 00:00:28.556804,0.0006787339833188723,30,0.9926141459850526,4.475487146488605,0.7084052255361104,0.7071727877742174,,PRUNED
373,373,0.7052008873551886,2021-02-24 05:39:22.504460,2021-02-24 05:40:39.189328,0 days 00:01:16.684868,0.00023880972652207355,80,0.9986645149189526,18.430242730677477,0.7052008873551886,,,PRUNED
374,374,0.7088982006408676,2021-02-24 05:40:39.189656,2021-02-24 05:43:54.511599,0 days 00:03:15.321943,0.00014828159945667456,70,0.9975602307726287,14.900352285934767,0.7079122504313532,,,COMPLETE
375,375,0.7056938624599458,2021-02-24 05:43:54.512312,2021-02-24 05:44:23.288554,0 days 00:00:28.776242,0.00014844588270007686,30,0.9922745089146725,3.556895391077878,0.7204831156026621,0.7056938624599458,,PRUNED
376,376,0.706186837564703,2021-02-24 05:44:23.288887,2021-02-24 05:45:40.183270,0 days 00:01:16.894383,0.00019860797955652842,30,0.9930249941431815,5.339631689390962,0.7128420014789253,0.7084052255361104,0.706186837564703,PRUNED
377,377,0.6697066798126695,2021-02-24 05:45:40.183587,2021-02-24 05:48:55.571147,0 days 00:03:15.387560,4.824854951101264e-05,90,0.9983308522174117,15.928724766368926,0.7084052255361104,,,COMPLETE
378,378,0.7029824993837811,2021-02-24 05:48:55.571858,2021-02-24 05:49:24.221003,0 days 00:00:28.649145,0.0001902895274868776,30,0.9930193318492649,4.029857296043274,0.7076657628789746,0.7029824993837811,,PRUNED
379,379,0.7052008873551886,2021-02-24 05:49:24.221335,2021-02-24 05:49:52.733915,0 days 00:00:28.512580,0.00010430901342419765,40,0.9934175942765726,13.200308667582332,0.7052008873551886,,,PRUNED
380,380,0.6990386985457234,2021-02-24 05:49:52.734249,2021-02-24 05:50:21.464138,0 days 00:00:28.729889,1.2386572249995013e-05,20,0.9922526304915485,12.706284740722218,0.6990386985457234,,,PRUNED
381,381,0.6990386985457234,2021-02-24 05:50:21.464479,2021-02-24 05:51:37.942518,0 days 00:01:16.478039,4.623934512738249e-05,30,0.9914580121354557,9.583288346159403,0.707419275326596,0.6990386985457234,,PRUNED
382,382,0.6928765097362584,2021-02-24 05:51:37.942865,2021-02-24 05:52:54.686236,0 days 00:01:16.743371,8.343380923572898e-05,90,0.9971488395006096,9.68989358451216,0.6928765097362584,,,PRUNED
383,383,0.7047079122504314,2021-02-24 05:52:54.686601,2021-02-24 05:53:07.183316,0 days 00:00:12.496715,5.9079513990250225e-05,30,0.9914297100630544,4.949090693248411,0.7047079122504314,,,PRUNED
